0,0,0
0.0198413,0.0124,0.00789683
0.0396825,0.0248,0.0157937
0.0595238,0.0372,0.0236905
0.0793651,0.0496,0.0315873
0.0992063,0.062,0.0394841
0.119048,0.0744,0.047381
0.138889,0.0868,0.0552778
0.15873,0.0992,0.0631746
0.178571,0.1116,0.0710714
0.198413,0.124,0.0789683
0.218254,0.1364,0.0868651
0.238095,0.1488,0.0947619
0.257937,0.1612,0.102659
0.277778,0.1736,0.110556
0.297619,0.186,0.118452
0.31746,0.1984,0.126349
0.337302,0.2108,0.134246
0.357143,0.2232,0.142143
0.376984,0.2356,0.15004
0.396825,0.248,0.157937
0.416667,0.2604,0.165833
0.436508,0.2728,0.17373
0.456349,0.2852,0.181627
0.47619,0.2976,0.189524
0.496032,0.31,0.197421
0.515873,0.3224,0.205317
0.535714,0.3348,0.213214
0.555556,0.3472,0.221111
0.575397,0.3596,0.229008
0.595238,0.372,0.236905
0.615079,0.3844,0.244802
0.634921,0.3968,0.252698
0.654762,0.4092,0.260595
0.674603,0.4216,0.268492
0.694444,0.434,0.276389
0.714286,0.4464,0.284286
0.734127,0.4588,0.292183
0.753968,0.4712,0.300079
0.77381,0.4836,0.307976
0.793651,0.496,0.315873
0.813492,0.5084,0.32377
0.833333,0.5208,0.331667
0.853175,0.5332,0.339563
0.873016,0.5456,0.34746
0.892857,0.558,0.355357
0.912698,0.5704,0.363254
0.93254,0.5828,0.371151
0.952381,0.5952,0.379048
0.972222,0.6076,0.386944
0.992063,0.62,0.394841
1,0.6324,0.402738
1,0.6448,0.410635
1,0.6572,0.418532
1,0.6696,0.426429
1,0.682,0.434325
1,0.6944,0.442222
1,0.7068,0.450119
1,0.7192,0.458016
1,0.7316,0.465913
1,0.744,0.47381
1,0.7564,0.481706
1,0.7688,0.489603
1,0.7812,0.4975
